,DFCAd,Participant,Frequence,TypeDistractor,Distance
541,-1.63991637473,KM,F2,Td,22.5
542,0.203249819369,KM,F2,Td,22.5
543,-0.223380618308,KM,F2,Td,22.5
544,-1.53901275169,KM,F2,Td,22.5
545,0.513927348677,KM,F2,Td,22.5
546,-2.20088909804,KM,F2,Td,22.5
547,-2.7674037564,KM,F2,Td,22.5
548,-1.62769975336,KM,F2,Td,22.5
549,-0.598068552808,KM,F2,Td,22.5
550,-0.573082722305,KM,F2,Td,22.5
551,-0.859336004213,KM,F2,Td,22.5
552,-0.398207831351,KM,F2,Td,22.5
553,-1.70729608632,KM,F2,Td,22.5
554,-0.793442513641,KM,F2,Td,22.5
555,-0.50040186076,KM,F2,Td,22.5
556,-0.336899188719,KM,F2,Td,22.5
557,0.214591797232,KM,F2,Td,22.5
558,-0.137120815047,KM,F2,Td,22.5
559,0.464050816683,KM,F2,Td,22.5
560,0.130655328929,KM,F2,Td,22.5
561,0.754624862826,KM,F2,Td,33.75
562,-0.841304488539,KM,F2,Td,33.75
563,-0.351683598296,KM,F2,Td,33.75
564,0.449530354112,KM,F2,Td,33.75
565,-0.181801249647,KM,F2,Td,33.75
566,-0.324497894828,KM,F2,Td,33.75
567,0.684589957665,KM,F2,Td,33.75
568,-1.71060664425,KM,F2,Td,33.75
569,-0.746060728526,KM,F2,Td,33.75
570,-4.01183599968,KM,F2,Td,33.75
571,-3.09953303114,KM,F2,Td,33.75
572,-0.841304488539,KM,F2,Td,33.75
573,-0.809554531833,KM,F2,Td,33.75
574,-0.607763805159,KM,F2,Td,33.75
575,-0.0527367763092,KM,F2,Td,33.75
576,-0.249746052091,KM,F2,Td,33.75
577,-3.45440835519,KM,F2,Td,33.75
578,-0.188595234884,KM,F2,Td,33.75
579,0.0898653863215,KM,F2,Td,33.75
580,-0.274661882535,KM,F2,Td,33.75
581,-0.877592614624,KM,F2,Td,33.75
582,-0.186330560851,KM,F2,Td,33.75
583,-0.211242649367,KM,F2,Td,33.75
584,-1.44491369711,KM,F2,Td,33.75
585,1.65692122189,KM,F2,Td,33.75
586,0.0943915945444,KM,F2,Td,33.75
587,-1.00688997521,KM,F2,Td,33.75
588,-0.672573956284,KM,F2,Td,33.75
589,-0.368903063019,KM,F2,Td,33.75
590,-0.507115944893,KM,F2,Td,33.75
591,0.332775834079,KM,F2,Td,33.75
592,-0.246587404459,KM,F2,Td,33.75
593,0.102039259032,KM,F2,Td,33.75
594,-3.66719063463,KM,F2,Td,33.75
595,0.0454647896815,KM,F2,Td,33.75
596,-1.44846261901,KM,F2,Td,33.75
597,-2.01627730319,KM,F2,Td,33.75
598,-0.269235796176,KM,F2,Td,33.75
599,-0.28962038797,KM,F2,Td,33.75
600,-1.11029048257,KM,F2,Td,33.75
601,0.787029333018,KM,F2,Td,33.75
602,-0.427808174384,KM,F2,Td,33.75
603,-0.912930792087,KM,F2,Td,33.75
604,0.122404039639,KM,F2,Td,33.75
605,-3.1325835156,KM,F2,Td,33.75
606,0.122404039639,KM,F2,Td,33.75
607,-0.829019252151,KM,F2,Td,33.75
